line_no,diffmyers-HRegionServer.java,diffhistogram-HRegionServer.java,diffminimal-HRegionServer.java,diffpatience-HRegionServer.java
1751 , -          // call coprocessor. get region info from scanner. , -          // adding resets expiration time on lease. , -          // adding resets expiration time on lease. , -          // adding resets expiration time on lease.
1752 , -          if (region != null && region.getcoprocessorhost() != null) { , -          if (scanners.containskey(scannername)) { , -          if (scanners.containskey(scannername)) { , -          if (scanners.containskey(scannername)) {
1753 , -            boolean bypass = region.getcoprocessorhost().prescannernext( , -            if (lease != null) leases.addlease(lease); , -            if (lease != null) leases.addlease(lease); , -            if (lease != null) leases.addlease(lease);
1754 ," -              scanner', 'results', 'rows); ", -            ttl = this.scannerleasetimeoutperiod; , -            ttl = this.scannerleasetimeoutperiod; , -            ttl = this.scannerleasetimeoutperiod;
1755 , -            if (!results.isempty()) { , -          } , -          } , -          }
1756 , -              for (result r : results) { , -        } , -        } , -        }
1757 , -                if (maxscannerresultsize < long.max_value){ , -      } , -      } , -      }
1758 , -                  for (cell kv : r.rawcells()) { , - , - , -
1759 , -                    // todo , -      if (!moreresults || closescanner) { , -      if (!moreresults || closescanner) { , -      if (!moreresults || closescanner) {
1760 , -                    currentscanresultsize += keyvalueutil.ensurekeyvalue(kv).heapsize(); , -        ttl = 0; , -        ttl = 0; , -        ttl = 0;
1761 , -                  } , -        moreresults = false; , -        moreresults = false; , -        moreresults = false;
1762 , -                } , -        if (region != null && region.getcoprocessorhost() != null) { , -        if (region != null && region.getcoprocessorhost() != null) { , -        if (region != null && region.getcoprocessorhost() != null) {
1763 , -              } , -          if (region.getcoprocessorhost().prescannerclose(scanner)) { , -          if (region.getcoprocessorhost().prescannerclose(scanner)) { , -          if (region.getcoprocessorhost().prescannerclose(scanner)) {
1764 , -            } , -            return builder.build(); // bypass , -            return builder.build(); // bypass , -            return builder.build(); // bypass
1765 , -            if (bypass != null && bypass.booleanvalue()) { , -          } , -          } , -          }
1766 , -              done = true; , -        } , -        } , -        }
1767 , -            } , -        rsh = scanners.remove(scannername); , -        rsh = scanners.remove(scannername); , -        rsh = scanners.remove(scannername);
1768 , -          } , -        if (rsh != null) { , -        if (rsh != null) { , -        if (rsh != null) {
1769 , - , -          scanner = rsh.s; , -          scanner = rsh.s; , -          scanner = rsh.s;
1770 , -          if (!done) { , -          scanner.close(); , -          scanner.close(); , -          scanner.close();
1771 , -            long maxresultsize = scanner.getmaxresultsize(); , -          leases.cancellease(scannername); , -          leases.cancellease(scannername); , -          leases.cancellease(scannername);
1772 , -            if (maxresultsize <= 0) { , -          if (region != null && region.getcoprocessorhost() != null) { , -          if (region != null && region.getcoprocessorhost() != null) { , -          if (region != null && region.getcoprocessorhost() != null) {
1773 , -              maxresultsize = maxscannerresultsize; , -            region.getcoprocessorhost().postscannerclose(scanner); , -            region.getcoprocessorhost().postscannerclose(scanner); , -            region.getcoprocessorhost().postscannerclose(scanner);
1774 , -            } , -          } , -          } , -          }
1775 , -            list<cell> values = new arraylist<cell>(); , -        } , -        } , -        }
1776 , -            region.startregionoperation(operation.scan); , -      } , -      } , -      }
1777 , -            try { , - , - , -
1778 , -              int i = 0; , -      if (ttl > 0) { , -      if (ttl > 0) { , -      if (ttl > 0) {
1779 , -              synchronized(scanner) { , -        builder.setttl(ttl); , -        builder.setttl(ttl); , -        builder.setttl(ttl);
1780 , -                for (; i < rows , -      } , -      } , -      }
1781 , -                    && currentscanresultsize < maxresultsize; ) { , -      builder.setscannerid(scannerid); , -      builder.setscannerid(scannerid); , -      builder.setscannerid(scannerid);
1782 , -                  // collect values to be returned here , -      builder.setmoreresults(moreresults); , -      builder.setmoreresults(moreresults); , -      builder.setmoreresults(moreresults);
1783 , -                  boolean morerows = scanner.nextraw(values); , -      return builder.build(); , -      return builder.build(); , -      return builder.build();
1784 , -                  if (!values.isempty()) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) {
1785 , -                    if (maxscannerresultsize < long.max_value){ , -      if (scannername != null && ie instanceof notservingregionexception) { , -      if (scannername != null && ie instanceof notservingregionexception) { , -      if (scannername != null && ie instanceof notservingregionexception) {
1786 , -                      for (cell kv : values) { , -        regionscannerholder rsh = scanners.remove(scannername); , -        regionscannerholder rsh = scanners.remove(scannername); , -        regionscannerholder rsh = scanners.remove(scannername);
1787 , -                        currentscanresultsize += keyvalueutil.ensurekeyvalue(kv).heapsize(); , -        if (rsh != null) { , -        if (rsh != null) { , -        if (rsh != null) {
1788 , -                      } , -          try { , -          try { , -          try {
1789 , -                    } , -            regionscanner scanner = rsh.s; , -            regionscanner scanner = rsh.s; , -            regionscanner scanner = rsh.s;
1790 , -                    results.add(result.create(values)); , -            scanner.close(); , -            scanner.close(); , -            scanner.close();
1791 , -                    i++; , -            leases.cancellease(scannername); , -            leases.cancellease(scannername); , -            leases.cancellease(scannername);
1792 , -                  } , -          } catch (ioexception e) {} , -          } catch (ioexception e) {} , -          } catch (ioexception e) {}
1793 , -                  if (!morerows) { , -        } , -        } , -        }
1794 , -                    break; , -      } , -      } , -      }
1795 , -                  } , -      throw new serviceexception(ie); , -      throw new serviceexception(ie); , -      throw new serviceexception(ie);
1796 , -                  values.clear(); , -    } , -    } , -    }
1797 , -                } , -  } , -  } , -  }
1798 , -              } , - , - , -
1799 , -              region.readrequestscount.add(i); ," -  private void addresults(final scanresponse.builder builder', 'final list<result> results "," -  private void addresults(final scanresponse.builder builder', 'final list<result> results "," -  private void addresults(final scanresponse.builder builder', 'final list<result> results"
1800 , -            } finally { , -      final rpccontroller controller) { , -      final rpccontroller controller) { , -      final rpccontroller controller) {
1801 , -              region.closeregionoperation(); , -    if (results == null || results.isempty()) return; , -    if (results == null || results.isempty()) return; , -    if (results == null || results.isempty()) return;
1802 , -            } , -    if (isclientcellblocksupport()) { , -    if (isclientcellblocksupport()) { , -    if (isclientcellblocksupport()) {
1803 , - , -      for (result res : results) { , -      for (result res : results) { , -      for (result res : results) {
1804 , -            // coprocessor postnext hook , -        builder.addcellsperresult(res.size()); , -        builder.addcellsperresult(res.size()); , -        builder.addcellsperresult(res.size());
1805 , -            if (region != null && region.getcoprocessorhost() != null) { , -      } , -      } , -      }
1806 ," -              region.getcoprocessorhost().postscannernext(scanner', 'results', 'rows', 'true); ", -      ((payloadcarryingrpccontroller)controller). , -      ((payloadcarryingrpccontroller)controller). , -      ((payloadcarryingrpccontroller)controller).
1807 , -            } , -        setcellscanner(cellutil.createcellscanner(results)); , -        setcellscanner(cellutil.createcellscanner(results)); , -        setcellscanner(cellutil.createcellscanner(results));
1808 , -          } , -    } else { , -    } else { , -    } else {
1809 , - , -      for (result res: results) { , -      for (result res: results) { , -      for (result res: results) {
1810 ," [""-          // if the scanner's filter - if any - is done with the scan""] ", -        clientprotos.result pbr = protobufutil.toresult(res); , -        clientprotos.result pbr = protobufutil.toresult(res); , -        clientprotos.result pbr = protobufutil.toresult(res);
1811 , -          // and wants to tell the client to stop the scan. this is done by passing , -        builder.addresults(pbr); , -        builder.addresults(pbr); , -        builder.addresults(pbr);
1812 ," -          // a null result', 'and setting moreresults to false. ", -      } , -      } , -      }
1813 , -          if (scanner.isfilterdone() && results.isempty()) { , -    } , -    } , -    }
1814 , -            moreresults = false; , -  } , -  } , -  }
1815 , -            results = null; , - , - , -
1816 , -          } else { , -  /** , -  /** , -  /**
1817 ," -            addresults(builder', 'results', 'controller); ", -   * atomically bulk load several hfiles into an open region , -   * atomically bulk load several hfiles into an open region , -   * atomically bulk load several hfiles into an open region
1818 , -          } ," -   * @return true if successful', 'false is failed but recoverably (no action) "," -   * @return true if successful', 'false is failed but recoverably (no action) "," -   * @return true if successful', 'false is failed but recoverably (no action)"
1819 , -        } finally { , -   * @throws ioexception if failed unrecoverably , -   * @throws ioexception if failed unrecoverably , -   * @throws ioexception if failed unrecoverably
1820 ," [""-          // we're done. on way out re-add the above removed lease.""] ", -   */ , -   */ , -   */
1821 , -          // adding resets expiration time on lease. , -  @override , -  @override , -  @override
1822 , -          if (scanners.containskey(scannername)) { , -  public bulkloadhfileresponse bulkloadhfile(final rpccontroller controller , -  public bulkloadhfileresponse bulkloadhfile(final rpccontroller controller , -  public bulkloadhfileresponse bulkloadhfile(final rpccontroller controller
1823 , -            if (lease != null) leases.addlease(lease); , -      final bulkloadhfilerequest request) throws serviceexception { , -      final bulkloadhfilerequest request) throws serviceexception { , -      final bulkloadhfilerequest request) throws serviceexception {
1824 , -            ttl = this.scannerleasetimeoutperiod; , -    try { , -    try { , -    try {
1825 , -          } , -      checkopen(); , -      checkopen(); , -      checkopen();
1826 , -        } , -      requestcount.increment(); , -      requestcount.increment(); , -      requestcount.increment();
1827 , -      } , -      hregion region = getregion(request.getregion()); , -      hregion region = getregion(request.getregion()); , -      hregion region = getregion(request.getregion());
1828 , - ," -      list<pair<byte[]', 'string>> familypaths = new arraylist<pair<byte[]', 'string>>(); "," -      list<pair<byte[]', 'string>> familypaths = new arraylist<pair<byte[]', 'string>>(); "," -      list<pair<byte[]', 'string>> familypaths = new arraylist<pair<byte[]', 'string>>();"
1829 , -      if (!moreresults || closescanner) { , -      for (familypath familypath: request.getfamilypathlist()) { , -      for (familypath familypath: request.getfamilypathlist()) { , -      for (familypath familypath: request.getfamilypathlist()) {
1830 , -        ttl = 0; ," -        familypaths.add(new pair<byte[]', 'string>(familypath.getfamily().tobytearray() "," -        familypaths.add(new pair<byte[]', 'string>(familypath.getfamily().tobytearray() "," -        familypaths.add(new pair<byte[]', 'string>(familypath.getfamily().tobytearray()"
1831 , -        moreresults = false; , -          familypath.getpath())); , -          familypath.getpath())); , -          familypath.getpath()));
1832 , -        if (region != null && region.getcoprocessorhost() != null) { , -      } , -      } , -      }
1833 , -          if (region.getcoprocessorhost().prescannerclose(scanner)) { , -      boolean bypass = false; , -      boolean bypass = false; , -      boolean bypass = false;
1834 , -            return builder.build(); // bypass , -      if (region.getcoprocessorhost() != null) { , -      if (region.getcoprocessorhost() != null) { , -      if (region.getcoprocessorhost() != null) {
1835 , -          } , -        bypass = region.getcoprocessorhost().prebulkloadhfile(familypaths); , -        bypass = region.getcoprocessorhost().prebulkloadhfile(familypaths); , -        bypass = region.getcoprocessorhost().prebulkloadhfile(familypaths);
1836 , -        } , -      } , -      } , -      }
1837 , -        rsh = scanners.remove(scannername); , -      boolean loaded = false; , -      boolean loaded = false; , -      boolean loaded = false;
1838 , -        if (rsh != null) { , -      if (!bypass) { , -      if (!bypass) { , -      if (!bypass) {
1839 , -          scanner = rsh.s; ," -        loaded = region.bulkloadhfiles(familypaths', 'request.getassignseqnum()); "," -        loaded = region.bulkloadhfiles(familypaths', 'request.getassignseqnum()); "," -        loaded = region.bulkloadhfiles(familypaths', 'request.getassignseqnum());"
1840 , -          scanner.close(); , -      } , -      } , -      }
1841 , -          leases.cancellease(scannername); , -      if (region.getcoprocessorhost() != null) { , -      if (region.getcoprocessorhost() != null) { , -      if (region.getcoprocessorhost() != null) {
1842 , -          if (region != null && region.getcoprocessorhost() != null) { ," -        loaded = region.getcoprocessorhost().postbulkloadhfile(familypaths', 'loaded); "," -        loaded = region.getcoprocessorhost().postbulkloadhfile(familypaths', 'loaded); "," -        loaded = region.getcoprocessorhost().postbulkloadhfile(familypaths', 'loaded);"
1843 , -            region.getcoprocessorhost().postscannerclose(scanner); , -      } , -      } , -      }
1844 , -          } , -      bulkloadhfileresponse.builder builder = bulkloadhfileresponse.newbuilder(); , -      bulkloadhfileresponse.builder builder = bulkloadhfileresponse.newbuilder(); , -      bulkloadhfileresponse.builder builder = bulkloadhfileresponse.newbuilder();
1845 , -        } , -      builder.setloaded(loaded); , -      builder.setloaded(loaded); , -      builder.setloaded(loaded);
1846 , -      } , -      return builder.build(); , -      return builder.build(); , -      return builder.build();
1847 , - , -    } catch (ioexception ie) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) {
1848 , -      if (ttl > 0) { , -      throw new serviceexception(ie); , -      throw new serviceexception(ie); , -      throw new serviceexception(ie);
1849 , -        builder.setttl(ttl); , -    } , -    } , -    }
1850 , -      } , -  } , -  } , -  }
1851 , -      builder.setscannerid(scannerid); , - , - , -
1852 , -      builder.setmoreresults(moreresults); , -  @override , -  @override , -  @override
1853 , -      return builder.build(); , -  public coprocessorserviceresponse execservice(final rpccontroller controller , -  public coprocessorserviceresponse execservice(final rpccontroller controller , -  public coprocessorserviceresponse execservice(final rpccontroller controller
1854 , -    } catch (ioexception ie) { , -      final coprocessorservicerequest request) throws serviceexception { , -      final coprocessorservicerequest request) throws serviceexception { , -      final coprocessorservicerequest request) throws serviceexception {
1855 , -      if (scannername != null && ie instanceof notservingregionexception) { , -    try { , -    try { , -    try {
1856 , -        regionscannerholder rsh = scanners.remove(scannername); , -      checkopen(); , -      checkopen(); , -      checkopen();
1857 , -        if (rsh != null) { , -      requestcount.increment(); , -      requestcount.increment(); , -      requestcount.increment();
1858 , -          try { , -      hregion region = getregion(request.getregion()); , -      hregion region = getregion(request.getregion()); , -      hregion region = getregion(request.getregion());
1859 , -            regionscanner scanner = rsh.s; ," -      message result = execserviceonregion(region', 'request.getcall()); "," -      message result = execserviceonregion(region', 'request.getcall()); "," -      message result = execserviceonregion(region', 'request.getcall());"
1860 , -            scanner.close(); , -      coprocessorserviceresponse.builder builder = , -      coprocessorserviceresponse.builder builder = , -      coprocessorserviceresponse.builder builder =
1861 , -            leases.cancellease(scannername); , -          coprocessorserviceresponse.newbuilder(); , -          coprocessorserviceresponse.newbuilder(); , -          coprocessorserviceresponse.newbuilder();
1862 , -          } catch (ioexception e) {} , -      builder.setregion(requestconverter.buildregionspecifier( , -      builder.setregion(requestconverter.buildregionspecifier( , -      builder.setregion(requestconverter.buildregionspecifier(
1863 , -        } ," -          regionspecifiertype.region_name', 'region.getregionname())); "," -          regionspecifiertype.region_name', 'region.getregionname())); "," -          regionspecifiertype.region_name', 'region.getregionname()));"
1864 , -      } , -      builder.setvalue( , -      builder.setvalue( , -      builder.setvalue(
1865 , -      throw new serviceexception(ie); , -          builder.getvaluebuilder().setname(result.getclass().getname()) , -          builder.getvaluebuilder().setname(result.getclass().getname()) , -          builder.getvaluebuilder().setname(result.getclass().getname())
1866 , -    } , -              .setvalue(result.tobytestring())); , -              .setvalue(result.tobytestring())); , -              .setvalue(result.tobytestring()));
1867 , -  } , -      return builder.build(); , -      return builder.build(); , -      return builder.build();
1868 , - , -    } catch (ioexception ie) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) {
1869 ," -  private void addresults(final scanresponse.builder builder', 'final list<result> results ", -      throw new serviceexception(ie); , -      throw new serviceexception(ie); , -      throw new serviceexception(ie);
1870 , -      final rpccontroller controller) { , -    } , -    } , -    }
1871 , -    if (results == null || results.isempty()) return; , -  } , -  } , -  }
1872 , -    if (isclientcellblocksupport()) { , - , - , -
1873 , -      for (result res : results) { , -  private message execserviceonregion(hregion region , -  private message execserviceonregion(hregion region , -  private message execserviceonregion(hregion region
1874 , -        builder.addcellsperresult(res.size()); , -      final clientprotos.coprocessorservicecall servicecall) throws ioexception { , -      final clientprotos.coprocessorservicecall servicecall) throws ioexception { , -      final clientprotos.coprocessorservicecall servicecall) throws ioexception {
1875 , -      } , -    // ignore the passed in controller (from the serialized call) , -    // ignore the passed in controller (from the serialized call) , -    // ignore the passed in controller (from the serialized call)
1876 , -      ((payloadcarryingrpccontroller)controller). , -    serverrpccontroller execcontroller = new serverrpccontroller(); , -    serverrpccontroller execcontroller = new serverrpccontroller(); , -    serverrpccontroller execcontroller = new serverrpccontroller();
1877 , -        setcellscanner(cellutil.createcellscanner(results)); ," -    message result = region.execservice(execcontroller', 'servicecall); "," -    message result = region.execservice(execcontroller', 'servicecall); "," -    message result = region.execservice(execcontroller', 'servicecall);"
1878 , -    } else { , -    if (execcontroller.getfailedon() != null) { , -    if (execcontroller.getfailedon() != null) { , -    if (execcontroller.getfailedon() != null) {
1879 , -      for (result res: results) { , -      throw execcontroller.getfailedon(); , -      throw execcontroller.getfailedon(); , -      throw execcontroller.getfailedon();
1880 , -        clientprotos.result pbr = protobufutil.toresult(res); , -    } , -    } , -    }
1881 , -        builder.addresults(pbr); , -    return result; , -    return result; , -    return result;
1882 , -      } , -  } , -  } , -  }
1883 , -    } , - , - , -
1884 , -  } , -  /** , -  /** , -  /**
1885 , - ," -   * execute multiple actions on a table: get', 'mutate', 'and/or execcoprocessor "," -   * execute multiple actions on a table: get', 'mutate', 'and/or execcoprocessor "," -   * execute multiple actions on a table: get', 'mutate', 'and/or execcoprocessor"
1886 , -  /** , -   * , -   * , -   *
1887 , -   * atomically bulk load several hfiles into an open region , -   * @param rpcc the rpc controller , -   * @param rpcc the rpc controller , -   * @param rpcc the rpc controller
1888 ," -   * @return true if successful', 'false is failed but recoverably (no action) ", -   * @param request the multi request , -   * @param request the multi request , -   * @param request the multi request
1889 , -   * @throws ioexception if failed unrecoverably , -   * @throws serviceexception , -   * @throws serviceexception , -   * @throws serviceexception
1892 , -  public bulkloadhfileresponse bulkloadhfile(final rpccontroller controller ," -  public multiresponse multi(final rpccontroller rpcc', 'final multirequest request) "," -  public multiresponse multi(final rpccontroller rpcc', 'final multirequest request) "," -  public multiresponse multi(final rpccontroller rpcc', 'final multirequest request)"
1893 , -      final bulkloadhfilerequest request) throws serviceexception { , -  throws serviceexception { , -  throws serviceexception { , -  throws serviceexception {
1896 , -      requestcount.increment(); , -    } catch (ioexception ie) { , -    } catch (ioexception ie) { , -    } catch (ioexception ie) {
1897 , -      hregion region = getregion(request.getregion()); , -      throw new serviceexception(ie); , -      throw new serviceexception(ie); , -      throw new serviceexception(ie);
1898 ," -      list<pair<byte[]', 'string>> familypaths = new arraylist<pair<byte[]', 'string>>(); ", -    } , -    } , -    }
1899 , -      for (familypath familypath: request.getfamilypathlist()) { , - , - , -
1900 ," -        familypaths.add(new pair<byte[]', 'string>(familypath.getfamily().tobytearray() "," [""-    // rpc controller is how we bring in data via the back door;  it is unprotobuf'ed data.""] "," [""-    // rpc controller is how we bring in data via the back door;  it is unprotobuf'ed data.""] "," [""-    // rpc controller is how we bring in data via the back door;  it is unprotobuf'ed data.""]"
1901 , -          familypath.getpath())); , -    // it is also the conduit via which we pass back data. , -    // it is also the conduit via which we pass back data. , -    // it is also the conduit via which we pass back data.
1902 , -      } , -    payloadcarryingrpccontroller controller = (payloadcarryingrpccontroller)rpcc; , -    payloadcarryingrpccontroller controller = (payloadcarryingrpccontroller)rpcc; , -    payloadcarryingrpccontroller controller = (payloadcarryingrpccontroller)rpcc;
1903 , -      boolean bypass = false; , -    cellscanner cellscanner = controller != null ? controller.cellscanner(): null; , -    cellscanner cellscanner = controller != null ? controller.cellscanner(): null; , -    cellscanner cellscanner = controller != null ? controller.cellscanner(): null;
1904 , -      if (region.getcoprocessorhost() != null) { , -    if (controller != null) controller.setcellscanner(null); , -    if (controller != null) controller.setcellscanner(null); , -    if (controller != null) controller.setcellscanner(null);
1905 , -        bypass = region.getcoprocessorhost().prebulkloadhfile(familypaths); , - , - , -
1906 , -      } , -    long noncegroup = request.hasnoncegroup() ? request.getnoncegroup() : hconstants.no_nonce; , -    long noncegroup = request.hasnoncegroup() ? request.getnoncegroup() : hconstants.no_nonce; , -    long noncegroup = request.hasnoncegroup() ? request.getnoncegroup() : hconstants.no_nonce;
1907 , -      boolean loaded = false; , - , - , -
1908 , -      if (!bypass) { ," [""-    // this will contain all the cells that we need to return. it's created later"", 'if needed. "," [""-    // this will contain all the cells that we need to return. it's created later"", 'if needed. "," [""-    // this will contain all the cells that we need to return. it's created later"", 'if needed."
1909 ," -        loaded = region.bulkloadhfiles(familypaths', 'request.getassignseqnum()); ", -    list<cellscannable> cellstoreturn = null; , -    list<cellscannable> cellstoreturn = null; , -    list<cellscannable> cellstoreturn = null;
1910 , -      } , -    multiresponse.builder responsebuilder = multiresponse.newbuilder(); , -    multiresponse.builder responsebuilder = multiresponse.newbuilder(); , -    multiresponse.builder responsebuilder = multiresponse.newbuilder();
1911 , -      if (region.getcoprocessorhost() != null) { , -    regionactionresult.builder regionactionresultbuilder = regionactionresult.newbuilder(); , -    regionactionresult.builder regionactionresultbuilder = regionactionresult.newbuilder(); , -    regionactionresult.builder regionactionresultbuilder = regionactionresult.newbuilder();
1912 ," -        loaded = region.getcoprocessorhost().postbulkloadhfile(familypaths', 'loaded); ", - , - , -
1913 , -      } , -    for (regionaction regionaction : request.getregionactionlist()) { , -    for (regionaction regionaction : request.getregionactionlist()) { , -    for (regionaction regionaction : request.getregionactionlist()) {
1914 , -      bulkloadhfileresponse.builder builder = bulkloadhfileresponse.newbuilder(); , -      this.requestcount.add(regionaction.getactioncount()); , -      this.requestcount.add(regionaction.getactioncount()); , -      this.requestcount.add(regionaction.getactioncount());
1915 , -      builder.setloaded(loaded); , -      hregion region; , -      hregion region; , -      hregion region;
1916 , -      return builder.build(); , -      regionactionresultbuilder.clear(); , -      regionactionresultbuilder.clear(); , -      regionactionresultbuilder.clear();
1917 , -    } catch (ioexception ie) { , -      try { , -      try { , -      try {
1918 , -      throw new serviceexception(ie); , -        region = getregion(regionaction.getregion()); , -        region = getregion(regionaction.getregion()); , -        region = getregion(regionaction.getregion());
1919 , -    } , -      } catch (ioexception e) { , -      } catch (ioexception e) { , -      } catch (ioexception e) {
1920 , -  } , -        regionactionresultbuilder.setexception(responseconverter.buildexception(e)); , -        regionactionresultbuilder.setexception(responseconverter.buildexception(e)); , -        regionactionresultbuilder.setexception(responseconverter.buildexception(e));
1921 , - , -        responsebuilder.addregionactionresult(regionactionresultbuilder.build()); , -        responsebuilder.addregionactionresult(regionactionresultbuilder.build()); , -        responsebuilder.addregionactionresult(regionactionresultbuilder.build());
1922 , -  @override ," [""-        continue;  // for this region it's a failure.""] "," [""-        continue;  // for this region it's a failure.""] "," [""-        continue;  // for this region it's a failure.""]"
1923 , -  public coprocessorserviceresponse execservice(final rpccontroller controller , -      } , -      } , -      }
1924 , -      final coprocessorservicerequest request) throws serviceexception { , - , - , -
1925 , -    try { , -      if (regionaction.hasatomic() && regionaction.getatomic()) { , -      if (regionaction.hasatomic() && regionaction.getatomic()) { , -      if (regionaction.hasatomic() && regionaction.getatomic()) {
1926 , -      checkopen(); , -        // how does this call happen?  it may need some work to play well w/ the surroundings. , -        // how does this call happen?  it may need some work to play well w/ the surroundings. , -        // how does this call happen?  it may need some work to play well w/ the surroundings.
1927 , -      requestcount.increment(); , -        // need to return an item per action along w/ action index.  todo. , -        // need to return an item per action along w/ action index.  todo. , -        // need to return an item per action along w/ action index.  todo.
1928 , -      hregion region = getregion(request.getregion()); , -        try { , -        try { , -        try {
1929 ," -      message result = execserviceonregion(region', 'request.getcall()); "," -          mutaterows(region', 'regionaction.getactionlist()', 'cellscanner); "," -          mutaterows(region', 'regionaction.getactionlist()', 'cellscanner); "," -          mutaterows(region', 'regionaction.getactionlist()', 'cellscanner);"
1930 , -      coprocessorserviceresponse.builder builder = , -        } catch (ioexception e) { , -        } catch (ioexception e) { , -        } catch (ioexception e) {
1931 , -          coprocessorserviceresponse.newbuilder(); ," [""-          // as it's atomic"", ""we may expect it's a global failure.""] "," [""-          // as it's atomic"", ""we may expect it's a global failure.""] "," [""-          // as it's atomic"", ""we may expect it's a global failure.""]"
1932 , -      builder.setregion(requestconverter.buildregionspecifier( , -          regionactionresultbuilder.setexception(responseconverter.buildexception(e)); , -          regionactionresultbuilder.setexception(responseconverter.buildexception(e)); , -          regionactionresultbuilder.setexception(responseconverter.buildexception(e));
1933 ," -          regionspecifiertype.region_name', 'region.getregionname())); ", -        } , -        } , -        }
1934 , -      builder.setvalue( , -      } else { , -      } else { , -      } else {
1935 , -          builder.getvaluebuilder().setname(result.getclass().getname()) , -        // dononatomicregionmutation manages the exception internally , -        // dononatomicregionmutation manages the exception internally , -        // dononatomicregionmutation manages the exception internally
1936 , -              .setvalue(result.tobytestring())); ," -        cellstoreturn = dononatomicregionmutation(region', 'regionaction', 'cellscanner "," -        cellstoreturn = dononatomicregionmutation(region', 'regionaction', 'cellscanner "," -        cellstoreturn = dononatomicregionmutation(region', 'regionaction', 'cellscanner"
1937 , -      return builder.build(); ," -            regionactionresultbuilder', 'cellstoreturn', 'noncegroup); "," -            regionactionresultbuilder', 'cellstoreturn', 'noncegroup); "," -            regionactionresultbuilder', 'cellstoreturn', 'noncegroup);"
1938 , -    } catch (ioexception ie) { , -      } , -      } , -      }
1939 , -      throw new serviceexception(ie); , -      responsebuilder.addregionactionresult(regionactionresultbuilder.build()); , -      responsebuilder.addregionactionresult(regionactionresultbuilder.build()); , -      responsebuilder.addregionactionresult(regionactionresultbuilder.build());
1941 , -  } , -    // load the controller with the cells to return. , -    // load the controller with the cells to return. , -    // load the controller with the cells to return.
1942 , - , -    if (cellstoreturn != null && !cellstoreturn.isempty() && controller != null) { , -    if (cellstoreturn != null && !cellstoreturn.isempty() && controller != null) { , -    if (cellstoreturn != null && !cellstoreturn.isempty() && controller != null) {
1943 , -  private message execserviceonregion(hregion region , -      controller.setcellscanner(cellutil.createcellscanner(cellstoreturn)); , -      controller.setcellscanner(cellutil.createcellscanner(cellstoreturn)); , -      controller.setcellscanner(cellutil.createcellscanner(cellstoreturn));
1944 , -      final clientprotos.coprocessorservicecall servicecall) throws ioexception { , -    } , -    } , -    }
1945 , -    // ignore the passed in controller (from the serialized call) , -    return responsebuilder.build(); , -    return responsebuilder.build(); , -    return responsebuilder.build();
1946 , -    serverrpccontroller execcontroller = new serverrpccontroller(); , -  } , -  } , -  }
1947 ," -    message result = region.execservice(execcontroller', 'servicecall); ", - , - , -
1948 , -    if (execcontroller.getfailedon() != null) { , -  /** , -  /** , -  /**
1949 , -      throw execcontroller.getfailedon(); ," -   * run through the regionmutation <code>rm</code> and per mutation', 'do the work', 'and then when "," -   * run through the regionmutation <code>rm</code> and per mutation', 'do the work', 'and then when "," -   * run through the regionmutation <code>rm</code> and per mutation', 'do the work', 'and then when"
1950 , -    } ," -   * done', 'add an instance of a {@link resultorexception} that corresponds to each mutation. "," -   * done', 'add an instance of a {@link resultorexception} that corresponds to each mutation. "," -   * done', 'add an instance of a {@link resultorexception} that corresponds to each mutation."
1951 , -    return result; , -   * @param region , -   * @param region , -   * @param region
1952 , -  } , -   * @param actions , -   * @param actions , -   * @param actions
1953 , - , -   * @param cellscanner , -   * @param cellscanner , -   * @param cellscanner
1954 , -  /** , -   * @param builder , -   * @param builder , -   * @param builder
1955 ," -   * execute multiple actions on a table: get', 'mutate', 'and/or execcoprocessor ", -   * @param cellstoreturn  could be null. may be allocated in this method.  this is what this , -   * @param cellstoreturn  could be null. may be allocated in this method.  this is what this , -   * @param cellstoreturn  could be null. may be allocated in this method.  this is what this
1956 , -   * ," [""-   * method returns as a 'result'.""] "," [""-   * method returns as a 'result'.""] "," [""-   * method returns as a 'result'.""]"
1957 , -   * @param rpcc the rpc controller , -   * @return return the <code>cellscanner</code> passed , -   * @return return the <code>cellscanner</code> passed , -   * @return return the <code>cellscanner</code> passed
1958 , -   * @param request the multi request , -   */ , -   */ , -   */
1959 , -   * @throws serviceexception , -  private list<cellscannable> dononatomicregionmutation(final hregion region , -  private list<cellscannable> dononatomicregionmutation(final hregion region , -  private list<cellscannable> dononatomicregionmutation(final hregion region
1960 , -   */ ," -      final regionaction actions', 'final cellscanner cellscanner "," -      final regionaction actions', 'final cellscanner cellscanner "," -      final regionaction actions', 'final cellscanner cellscanner"
1961 , -  @override ," -      final regionactionresult.builder builder', 'list<cellscannable> cellstoreturn', 'long noncegroup) { "," -      final regionactionresult.builder builder', 'list<cellscannable> cellstoreturn', 'long noncegroup) { "," -      final regionactionresult.builder builder', 'list<cellscannable> cellstoreturn', 'long noncegroup) {"
